codim: 4, face: 1/8, weights: [-1, 0, 0, 0], discriminant: M1
codim: 4, face: 2/8, weights: [1, 2, 2, 2], discriminant: 1
codim: 4, face: 3/8, weights: [0, -1, 0, 0], discriminant: M2
codim: 4, face: 4/8, weights: [2, 1, 2, 2], discriminant: 1
codim: 4, face: 5/8, weights: [0, 0, -1, 0], discriminant: M3
codim: 4, face: 6/8, weights: [2, 2, 1, 2], discriminant: 1
codim: 4, face: 7/8, weights: [0, 0, 0, -1], discriminant: M4
codim: 4, face: 8/8, weights: [2, 2, 2, 1], discriminant: 1
codim: 3, face: 1/16, weights: [0, 1, 1, 1], discriminant: 1
codim: 3, face: 2/16, weights: [-1, -1, 0, 0], discriminant: M1^2 - 2*M1*M2 + M1*m2 - 2*M2^2 - 2*M2*m2 + m2^2
codim: 3, face: 3/16, weights: [-1, 0, -1, 0], discriminant: M1^2 - 2*M1*M3 + M1*t - 2*M3^2 - 2*M3*t + t^2
codim: 3, face: 4/16, weights: [-1, 0, 0, -1], discriminant: M1^2 - 2*M1*M4 + M1*m1 - 2*M4^2 - 2*M4*m1 + m1^2
codim: 3, face: 5/16, weights: [1, 1, 2, 2], discriminant: 1
codim: 3, face: 6/16, weights: [1, 2, 1, 2], discriminant: 1
codim: 3, face: 7/16, weights: [1, 2, 2, 1], discriminant: 1
codim: 3, face: 8/16, weights: [1, 0, 1, 1], discriminant: 1
codim: 3, face: 9/16, weights: [0, -1, -1, 0], discriminant: M2^2 - 2*M2*M3 + M2*m3 - 2*M3^2 - 2*M3*m3 + m3^2
codim: 3, face: 10/16, weights: [0, -1, 0, -1], discriminant: M2^2 - 2*M2*M4 + M2*s - 2*M4^2 - 2*M4*s + s^2
codim: 3, face: 11/16, weights: [2, 1, 1, 2], discriminant: 1
codim: 3, face: 12/16, weights: [2, 1, 2, 1], discriminant: 1
codim: 3, face: 13/16, weights: [1, 1, 0, 1], discriminant: 1
codim: 3, face: 14/16, weights: [0, 0, -1, -1], discriminant: M3^2 - 2*M3*M4 + M3*m4 - 2*M4^2 - 2*M4*m4 + m4^2
codim: 3, face: 15/16, weights: [2, 2, 1, 1], discriminant: 1
codim: 3, face: 16/16, weights: [1, 1, 1, 0], discriminant: 1
codim: 2, face: 1/14, weights: [0, 0, 1, 1], discriminant: m2
codim: 2, face: 2/14, weights: [0, 1, 0, 1], discriminant: t
codim: 2, face: 3/14, weights: [0, 1, 1, 0], discriminant: m1
